,Unnamed: 0.1,Unnamed: 0,Wavelength,Ruby Intensity,Wavelength(nm),No Ruby Intensity,Transmission,Intensity_measurement_error,Transmission_error
0,0,0,363.262,-25.2,363.262,-3.58,7.039106145,0.01,7.039+/-0.020
1,1,1,363.479,-25.2,363.479,-3.58,7.039106145,0.01,7.039+/-0.020
2,2,2,363.696,-25.2,363.696,-3.58,7.039106145,0.01,7.039+/-0.020
3,3,3,363.914,-2.67,363.914,-3.58,0.745810056,0.01,0.7458+/-0.0035
4,4,4,364.131,-12.91,364.131,-52.05,0.24803074,0.01,0.24803+/-0.00020
5,5,5,364.348,5.52,364.348,-7.0,-0.788571429,0.01,-0.7886+/-0.0018
6,6,6,364.566,16.44,364.566,15.53,1.058596265,0.01,1.0586+/-0.0009
7,7,7,364.783,-15.64,364.783,-13.82,1.131693198,0.01,1.1317+/-0.0011
8,8,8,365.0,-9.5,365.0,18.94,-0.501583949,0.01,-0.5016+/-0.0006
9,9,9,365.217,-1.31,365.217,4.61,-0.284164859,0.01,-0.2842+/-0.0023
10,10,10,365.435,2.79,365.435,27.82,0.100287563,0.01,0.1003+/-0.0004
11,11,11,365.652,1.42,365.652,-17.24,-0.082366589,0.01,-0.0824+/-0.0006
12,12,12,365.869,-2.67,365.869,-0.85,3.141176471,0.01,3.14+/-0.04
13,13,13,366.086,-2.67,366.086,-65.71,0.040633085,0.01,0.04063+/-0.00015
14,14,14,366.304,-19.74,366.304,20.31,-0.971935007,0.01,-0.9719+/-0.0007
15,15,15,366.521,22.58,366.521,10.07,2.242303873,0.01,2.2423+/-0.0024
16,16,16,366.738,2.79,366.738,7.34,0.380108992,0.01,0.3801+/-0.0015
17,17,17,366.955,-1.99,366.955,-5.63,0.353463588,0.01,0.3535+/-0.0019
18,18,18,367.172,8.25,367.172,85.16,0.096876468,0.01,0.09688+/-0.00012
19,19,19,367.389,48.53,367.389,95.4,0.50870021,0.01,0.50870+/-0.00012
20,20,20,367.607,87.44,367.607,44.2,1.978280543,0.01,1.9783+/-0.0005
21,21,21,367.824,105.87,367.824,82.43,1.284362489,0.01,1.28436+/-0.00020
22,22,22,368.041,43.06,368.041,70.83,0.607934491,0.01,0.60793+/-0.00017
23,23,23,368.258,77.2,368.258,109.74,0.703480955,0.01,0.70348+/-0.00011
24,24,24,368.475,68.32,368.475,44.2,1.545701357,0.01,1.5457+/-0.0004
25,25,25,368.692,90.85,368.692,80.38,1.130256283,0.01,1.13026+/-0.00019
26,26,26,368.909,62.86,368.909,89.94,0.698910385,0.01,0.69891+/-0.00014
27,27,27,369.126,61.5,369.126,84.48,0.727982955,0.01,0.72798+/-0.00015
28,28,28,369.343,103.82,369.343,98.13,1.057984307,0.01,1.05798+/-0.00015
29,29,29,369.56,78.56,369.56,79.02,0.994178689,0.01,0.99418+/-0.00018
30,30,30,369.777,90.17,369.777,115.88,0.778132551,0.01,0.77813+/-0.00011
31,31,31,369.994,69.01,369.994,72.87,0.947028956,0.01,0.94703+/-0.00019
32,32,32,370.211,87.44,370.211,117.93,0.741456796,0.01,0.74146+/-0.00011
33,33,33,370.428,38.97,370.428,76.29,0.510813999,0.01,0.51081+/-0.00015
34,34,34,370.645,69.69,370.645,89.26,0.780752857,0.01,0.78075+/-0.00014
35,35,35,370.862,53.3,370.862,123.39,0.431963692,0.01,0.43196+/-0.00009
36,36,36,371.079,98.36,371.079,89.94,1.093617968,0.01,1.09362+/-0.00016
37,37,37,371.296,57.4,371.296,64.68,0.887445887,0.01,0.88745+/-0.00021
38,38,38,371.513,56.03,371.513,58.54,0.957123334,0.01,0.95712+/-0.00024
39,39,39,371.73,86.07,371.73,109.05,0.789270977,0.01,0.78927+/-0.00012
40,40,40,371.947,85.39,371.947,125.44,0.680723852,0.01,0.68072+/-0.00010
41,41,41,372.163,61.5,372.163,98.81,0.622406639,0.01,0.62241+/-0.00012
42,42,42,372.38,52.62,372.38,124.76,0.421769798,0.01,0.42177+/-0.00009
43,43,43,372.597,103.14,372.597,115.88,0.890058681,0.01,0.89006+/-0.00012
44,44,44,372.814,101.09,372.814,115.2,0.877517361,0.01,0.87752+/-0.00012
45,45,45,373.031,107.23,373.031,89.26,1.201321981,0.01,1.20132+/-0.00018
46,46,46,373.248,63.54,373.248,115.2,0.5515625,0.01,0.55156+/-0.00010
47,47,47,373.465,79.93,373.465,109.74,0.728357937,0.01,0.72836+/-0.00011
48,48,48,373.681,97.68,373.681,124.07,0.787297493,0.01,0.78730+/-0.00010
49,49,49,373.898,57.4,373.898,119.29,0.481180317,0.01,0.48118+/-0.00009
50,50,50,374.115,71.05,374.115,87.21,0.814700149,0.01,0.81470+/-0.00015
51,51,51,374.332,104.5,374.332,49.66,2.104309303,0.01,2.1043+/-0.0005
52,52,52,374.548,90.85,374.548,98.13,0.925812697,0.01,0.92581+/-0.00014
53,53,53,374.765,116.11,374.765,92.67,1.252940542,0.01,1.25294+/-0.00017
54,54,54,374.982,90.85,374.982,139.77,0.649996423,0.01,0.65000+/-0.00009
55,55,55,375.199,95.63,375.199,111.1,0.860756076,0.01,0.86076+/-0.00012
56,56,56,375.415,107.23,375.415,117.93,0.90926821,0.01,0.90927+/-0.00011
57,57,57,375.632,77.88,375.632,134.31,0.57985258,0.01,0.57985+/-0.00009
58,58,58,375.849,113.38,375.849,147.97,0.766236399,0.01,0.76624+/-0.00009
59,59,59,376.065,78.56,376.065,117.93,0.66615789,0.01,0.66616+/-0.00010
60,60,60,376.282,111.33,376.282,142.5,0.781263158,0.01,0.78126+/-0.00009
61,61,61,376.499,102.46,376.499,132.26,0.774686224,0.01,0.77469+/-0.00010
62,62,62,376.715,94.26,376.715,153.43,0.614351822,0.01,0.61435+/-0.00008
63,63,63,376.932,90.17,376.932,132.95,0.678224897,0.01,0.67822+/-0.00009
64,64,64,377.149,96.99,377.149,124.76,0.777412632,0.01,0.77741+/-0.00010
65,65,65,377.365,104.5,377.365,137.73,0.75873085,0.01,0.75873+/-0.00009
66,66,66,377.582,101.77,377.582,154.11,0.660372461,0.01,0.66037+/-0.00008
67,67,67,377.798,73.78,377.798,134.31,0.549326186,0.01,0.54933+/-0.00008
68,68,68,378.015,69.69,378.015,163.67,0.425795809,0.01,0.42580+/-0.00007
69,69,69,378.231,105.87,378.231,158.21,0.669173883,0.01,0.66917+/-0.00008
70,70,70,378.448,118.84,378.448,160.94,0.73841183,0.01,0.73841+/-0.00008
71,71,71,378.664,109.28,378.664,132.95,0.821963144,0.01,0.82196+/-0.00010
72,72,72,378.881,96.31,378.881,148.65,0.647897746,0.01,0.64790+/-0.00008
73,73,73,379.097,76.51,379.097,161.62,0.473394382,0.01,0.47339+/-0.00007
74,74,74,379.314,150.92,379.314,182.1,0.828775398,0.01,0.82878+/-0.00007
75,75,75,379.53,119.52,379.53,167.08,0.715345942,0.01,0.71535+/-0.00007
76,76,76,379.747,112.01,379.747,147.97,0.756977766,0.01,0.75698+/-0.00008
77,77,77,379.963,114.74,379.963,144.55,0.793773781,0.01,0.79377+/-0.00009
78,78,78,380.18,144.78,380.18,108.37,1.335978592,0.01,1.33598+/-0.00015
79,79,79,380.396,127.71,380.396,195.07,0.654688061,0.01,0.65469+/-0.00006
80,80,80,380.613,106.55,380.613,168.45,0.632531909,0.01,0.63253+/-0.00007
81,81,81,380.829,119.52,380.829,193.02,0.619210445,0.01,0.61921+/-0.00006
82,82,82,381.045,176.86,381.045,163.67,1.08058899,0.01,1.08059+/-0.00009
83,83,83,381.262,109.28,381.262,126.12,0.866476372,0.01,0.86648+/-0.00010
84,84,84,381.478,155.02,381.478,195.07,0.794689086,0.01,0.79469+/-0.00007
85,85,85,381.695,106.55,381.695,152.74,0.697590677,0.01,0.69759+/-0.00008
86,86,86,381.911,142.05,381.911,189.61,0.749169348,0.01,0.74917+/-0.00007
87,87,87,382.127,89.48,382.127,167.08,0.535551831,0.01,0.53555+/-0.00007
88,88,88,382.344,141.37,382.344,213.5,0.662154567,0.01,0.66215+/-0.00006
89,89,89,382.56,146.15,382.56,147.97,0.98770021,0.01,0.98770+/-0.00009
90,90,90,382.776,111.33,382.776,143.19,0.777498429,0.01,0.77750+/-0.00009
91,91,91,382.992,109.96,382.992,198.48,0.55401048,0.01,0.55401+/-0.00006
92,92,92,383.209,133.86,383.209,222.38,0.601942621,0.01,0.60194+/-0.00005
93,93,93,383.425,133.17,383.425,181.42,0.734042553,0.01,0.73404+/-0.00007
94,94,94,383.641,175.5,383.641,180.73,0.971061805,0.01,0.97106+/-0.00008
95,95,95,383.858,165.26,383.858,184.15,0.897420581,0.01,0.89742+/-0.00007
96,96,96,384.074,105.19,384.074,172.54,0.609655732,0.01,0.60966+/-0.00007
97,97,97,384.29,134.54,384.29,154.79,0.869177595,0.01,0.86918+/-0.00009
98,98,98,384.506,126.35,384.506,169.13,0.747058476,0.01,0.74706+/-0.00007
99,99,99,384.722,117.47,384.722,178.0,0.65994382,0.01,0.65994+/-0.00007
100,100,100,384.939,148.88,384.939,177.32,0.839612001,0.01,0.83961+/-0.00007
101,101,101,385.155,164.58,385.155,217.6,0.756341912,0.01,0.75634+/-0.00006
102,102,102,385.371,167.31,385.371,230.57,0.725636466,0.01,0.72564+/-0.00005
103,103,103,385.587,168.67,385.587,205.99,0.818826157,0.01,0.81883+/-0.00006
104,104,104,385.803,120.89,385.803,229.88,0.525883069,0.01,0.52588+/-0.00005
